name,date_of_birth,height,weight,spike,block,position_number,country,age
Hanya Elshebeny,06/06/1999,170,60,273,261,1,29,21
Habiba Khairy,16/12/1999,177,73,280,271,4,29,21
Hana Elmasry,20/07/2001,173,64,276,267,2,29,19
Dana Emam,04/10/2000,181,73,280,271,1,29,20
Nkemdilim Ruth Terry Enweonwu,12/05/2000,187,86,339,309,4,15,20
Martina Ferrara,28/01/1999,168,70,276,260,6,15,21
Rachele Morello,07/11/2000,182,77,302,296,1,15,20
Marina Lubian,11/04/2000,187,67,304,288,3,15,20
Giorgia Zannoni,11/02/1998,175,68,284,270,6,15,22
Elena Pietrini,17/03/2000,188,66,315,305,2,15,20
Vittoria Alice Piani,12/02/1998,187,78,316,296,4,15,22
Alice Pamio,15/01/1998,179,66,302,278,2,15,22
Giulia Maria Mancini,23/05/1998,183,68,302,284,3,15,22
Giulia Melli,08/01/1998,184,70,304,282,2,15,22
Alexandra Botezat,03/08/1998,197,75,316,304,3,15,22
Uxue Amaya Guereca Parra,12/02/2001,176,64,270,259,2,19,19
Alejandra Tapia Martinez,08/03/1998,158,57,290,277,2,19,22
Alejandra Salinas Gonzalez,04/04/1998,169,63,245,240,1,19,22
Yerania Paloma Gutierrez Sandoval,13/01/1998,182,75,275,260,2,19,22
Karla Daniela Mireles Valdez,25/01/2000,176,73,270,250,2,19,20
Francia Sanchez,28/08/1998,182,78,310,300,2,19,22
Joseline Landeros Palacios,20/12/2000,169,60,290,277,6,19,20
Samantha Paola Villegas Betancourt,08/09/1998,178,69,285,280,4,19,22
Karen Paola Rivera Herrera,22/05/1999,174,62,265,260,1,19,21
Flavia Montes,22/11/2000,187,60,295,290,3,30,20
Nayeli Vilchez,27/06/2000,179,65,290,287,1,30,20
Maricarmen Guerrero,17/01/1999,181,70,290,280,3,30,21
Ysabella Sanchez,02/07/1999,177,59,279,296,2,30,21
Thaisa Mc Leod,01/01/2002,185,75,301,305,4,30,18
Kiara Montes,13/01/2001,176,68,282,293,2,30,19
Leslie Leyva,06/12/1998,175,72,280,300,2,30,22
Besna Villegas,30/10/1999,170,68,270,275,6,30,21
Aixa Vigil,23/09/2001,180,65,284,295,3,30,19
Yadhira Anchante,19/11/2002,178,59,286,290,1,30,18
Zuzanna Gorecka,10/04/2000,181,63,301,284,2,21,20
Oliwia Baluk,17/05/2000,175,62,288,279,2,21,20
Aleksandra Lipska,25/02/1998,185,80,304,285,2,21,22
Natalia Murek,08/09/1999,180,70,302,283,2,21,21
Alicja Grabka,09/05/1998,178,62,290,280,1,21,22
Martyna Lukasik,26/11/1999,189,75,315,288,4,21,21
Julia Nowicka,21/10/1998,174,58,295,278,1,21,22
Martyna Swirad,05/01/1998,184,74,301,287,3,21,22
Kinga Rozynska,12/07/1998,190,70,308,289,3,21,22
Maria Stenzel,25/11/1998,168,53,278,262,6,21,22
Aleksandra Gryka,06/02/2000,190,71,302,278,3,21,20
Justyna Lysiak,20/01/1999,173,58,275,264,6,21,21
Kseniia Smirnova,24/04/1998,187,76,305,300,2,23,22
Anna Kotikova,13/10/1999,185,71,306,300,4,23,21
Anastasia Stalnaya,06/01/1998,190,75,306,298,2,23,22
Olga Zubareva,08/11/1998,189,74,305,297,3,23,22
Alina Podskalnaia,09/06/1998,179,65,282,272,1,23,22
Aleksandra Oganezova,12/05/1998,173,65,287,266,6,23,22
Anastasiia Stankevichute,02/05/1998,166,63,275,235,6,23,22
Victoriia Russu,16/02/1999,193,70,311,305,2,23,21
Daria Ryseva,05/03/1998,175,69,282,266,1,23,22
Elizaveta Kotova,31/05/1998,186,81,303,289,3,23,22
Maria Vorobyeva,24/02/1998,184,77,306,288,2,23,22
Ana Jaksic,10/03/1998,178,64,285,280,1,24,22
Ljubica Milojevic,13/02/1999,190,70,300,287,3,24,21
Anastasija Sekulic,31/07/1998,180,58,280,275,2,24,22
Tamara Radmilovic,09/06/1999,184,64,280,275,3,24,21
Andjela Veselinovic,05/02/1999,173,55,270,265,1,24,21
Vanja Bukilic,13/06/1999,191,68,300,285,4,24,21
Sara Caric,01/02/2001,193,73,300,290,4,24,19
Katarina Jovic,01/10/1999,191,76,292,284,2,24,21
Sanja Djurdjevic,25/03/1998,177,63,274,270,6,24,22
Jovana Mirosavljevic,16/01/2000,182,63,288,280,2,24,20
Sinem Bayazit,14/01/1999,164,54,270,250,6,26,21
Ceren Nur Domac,16/07/1999,184,64,296,286,3,26,21
Buket Gulubay,28/02/1999,183,68,298,281,1,26,21
Cagla Erdem,18/06/1998,186,74,298,285,2,26,22
Tutku Burcu Yuzgenc,15/01/1999,188,61,298,295,4,26,21
Eylül Akarcesme,01/10/1999,170,53,285,270,6,26,21
Derya Cebecioğlu,24/10/2000,185,65,290,280,2,26,20
Brionne Butler,29/01/1999,195,77,329,324,3,27,21
Tiffany Clark,18/02/1998,180,66,292,286,6,27,22
Elizabeth Thayer Hall,28/12/1999,191,77,312,300,2,27,21
Paige Hammons,21/10/1998,190,61,310,298,2,27,22
Regan Pittman,18/03/1998,195,85,315,308,3,27,22
Holly Carlton,14/05/1998,203,80,311,301,4,27,22
Ronika Stone,07/06/1998,193,78,315,300,4,27,22
Norene Iosia,27/05/1998,182,77,304,292,1,27,22
Mackenzi Welsh,19/02/1998,185,70,316,314,1,27,22
Gabrielle Curry,12/09/1998,175,70,271,270,6,27,22
Rachael Kramer,15/03/1998,208,78,325,313,3,27,22
Leah Edmond,13/02/1998,193,75,320,305,2,27,22
Svetlana Serbina,15/05/1996,182,71,295,284,1,23,24
Ekaterina Shkurikhina,17/06/1996,190,72,306,296,2,23,24
Kristina Kurnosova,17/06/1997,176,62,288,278,6,23,23
Ekaterina Novikova,07/12/1996,181,70,290,275,1,23,24
Victoria Zhurbenko,17/03/1996,186,67,306,297,3,23,24
Angelina Sperskaite,11/02/1997,188,72,305,295,2,23,23
Anastasiia Barchuk,09/02/1996,187,78,305,297,3,23,24
Anastasiia Cheremisina,14/01/1996,187,80,305,298,2,23,24
Anna Lazareva,31/01/1997,190,67,315,300,4,23,23
Tatiana Iurinskaia,25/01/1996,195,69,305,275,2,23,24
Sabina Gilfanova,14/02/1996,187,79,300,296,4,23,24
Lana Conceição,08/12/1996,175,72,292,281,2,10,24
Ariane Pinto,27/01/1997,191,79,291,284,4,10,23
Laiza Ferreira,18/02/1996,181,71,301,285,3,10,24
Gabriela Silva,05/03/1996,182,75,296,281,3,10,24
Karoline Tormena,21/03/1996,187,69,295,284,3,10,24
Lorenne Geraldo Teixeira,08/01/1996,187,72,306,289,4,10,24
Thais Oliveira,01/04/1996,172,69,275,272,1,10,24
Lais Vasques,12/02/1996,171,70,275,274,6,10,24
Maiara Basso,03/01/1996,186,80,287,276,3,10,24
Yurika Kono,08/04/1996,177,60,292,282,3,16,24
Yuka Kitsui,15/01/1997,172,60,294,283,4,16,23
Haruka Maruo,15/08/1996,176,64,293,283,3,16,24
Mizuki Yanagita,26/03/1996,168,64,300,290,2,16,24
Yuka Onodera,22/03/1997,173,70,293,283,1,16,23
Shino Nakata,15/07/1997,178,66,287,284,2,16,23
Anna Koike,16/12/1996,162,62,263,253,2,9,24
Slavena Nikova,07/06/1996,180,72,290,280,2,9,24
Simona Nikolova,29/07/1997,190,75,308,300,4,9,23
Kristiana Petrova,13/07/1997,177,70,290,282,2,9,23
Radostina Marinova,02/10/1998,183,62,287,279,3,9,22
