name,date_of_birth,age,height,weight,spike,block,age_in_2018
Grecia Esther Castro López,05/03/2001,19,180,75,255.0,241,17
Ana Valle,31/05/1996,24,194,89,310.0,297,22
Melanie Guadalupe Parra Quintero,12/09/2002,18,176,50,249.0,242,16
Karina Angelica Flores Gamez,16/08/1998,22,192,80,299.0,285,20
Daniela Bernal Barraza,03/05/2000,20,180,73,262.0,254,18
Ivone Martinez,02/03/1997,23,172,56,310.0,302,21
Andrea Maldonado,08/09/1991,29,179,78,292.0,294,27
Renata López Morales,15/02/2001,19,185,74,291.0,283,17
Valeria Salinas González,02/06/2000,20,175,70,265.0,252,18
Kirsten Knip,14/09/1992,28,175,70,281.0,275,26
Femke Stoltenborg,30/07/1991,29,189,81,303.0,299,27
Yvon Belien,28/12/1993,27,188,73,307.0,303,25
Celeste Plak,26/10/1995,25,190,87,314.0,302,23
Robin De Kruijf,05/05/1991,29,192,81,313.0,300,27
Maret Balkestein-Grothues,16/09/1988,32,180,68,304.0,285,30
Juliet Lohuis,10/09/1996,24,190,77,305.0,295,22
Sarah Van Aalen,21/01/2000,20,183,68,300.0,293,18
Myrthe Schoot,29/08/1988,32,182,70,298.0,286,30
Lonneke Slöetjes,15/11/1990,30,191,76,322.0,315,28
Anne Buijs,02/12/1991,29,191,73,317.0,299,27
Britt Bongaerts,03/11/1996,24,185,68,296.0,284,22
Demi Korevaar,09/08/2000,20,187,71,311.0,303,18
Laura Dijkema,18/02/1990,30,184,70,293.0,279,28
Nicole Oude Luttikhuis,26/12/1997,23,191,82,312.0,305,21
Marrit Jasper,28/02/1996,24,180,75,300.0,285,22
Nika Daalderop,29/11/1998,22,189,72,317.0,308,20
Tessa Polder,10/10/1997,23,189,76,301.0,293,21
Dagmar Boom,01/05/2000,20,181,69,296.0,291,18
Nicole Koolhaas,31/01/1991,29,198,77,310.0,300,27
Indy Baijens,04/02/2001,19,190,67,317.0,312,17
Annick Meijers,23/03/2000,20,188,70,310.0,301,18
Gergana Dimitrova,28/02/1996,24,184,71,305.0,288,22
Nasya Dimitrova,06/11/1992,28,190,70,305.0,290,26
Kristiana Petrova,13/07/1997,23,177,70,290.0,282,21
Veselina Arshinkova,06/09/1995,25,194,80,303.0,292,23
Miroslava Paskova,16/02/1996,24,180,67,299.0,280,22
Lora Kitipova,19/05/1991,29,184,66,290.0,283,27
Petya Barakova,18/06/1994,26,180,76,283.0,271,24
Monika Krasteva,09/05/1999,21,183,64,292.0,285,19
Mira Todorova,12/04/1994,26,187,73,312.0,300,24
Hristina Ruseva,01/10/1991,29,190,77,305.0,290,27
Mariya Karakasheva,27/10/1988,32,182,68,295.0,290,30
Ivelina Monova,17/01/1986,34,173,58,285.0,280,32
Zhana Todorova,06/01/1997,23,170,56,271.0,255,21
Elitsa Vasileva,13/05/1990,30,190,73,302.0,290,28
Silvana Chausheva,19/05/1995,25,188,75,305.0,290,23
Kristina Guncheva,24/03/1994,26,178,61,282.0,271,24
Vangeliya Rachkovska,19/07/1997,23,185,67,296.0,281,21
Jessica Niles,14/07/1993,27,176,61,287.0,278,25
Autumn Bailey,02/06/1995,25,178,80,300.0,280,23
Kyla Richey,20/06/1989,31,188,83,309.0,292,29
Danielle Smith,29/04/1990,30,178,68,291.0,277,28
Alissa Coulter,27/10/1993,27,184,74,301.0,288,25
Brianna Beamish,04/09/1993,27,179,71,300.0,286,25
Alicia Ogoms,02/04/1994,26,194,82,315.0,305,24
Alexa Gray,07/08/1994,26,185,75,323.0,215,24
Anna Feore,23/11/1996,24,175,63,299.0,290,22
Jennifer Cross,04/07/1992,28,195,81,315.0,296,26
Lucille Charuk,13/08/1989,31,188,88,315.0,296,29
Kelsey Veltman,02/04/1996,24,189,78,310.0,295,22
Sarah Chase,08/10/1997,23,180,70,302.0,276,21
Shainah Joseph,15/05/1995,25,183,78,329.0,292,23
Kristen Moncks,31/07/1992,28,175,72,287.0,244,26
Kim Robitaille,16/10/1991,29,179,59,302.0,283,27
Marie-Alex Bélanger,13/04/1993,27,186,75,315.0,295,25
Alicia Perrin,01/06/1992,28,188,84,305.0,286,26
Mariah Walsh,09/10/1994,26,172,56,288.0,284,24
Megan Cyr,01/06/1990,30,182,75,297.0,282,28
Emily Maglio,13/11/1996,24,189,82,318.0,302,22
Kiera Van Ryk,06/01/1999,21,188,85,302.0,288,19
Xinyue Yuan,21/12/1996,24,201,78,317.0,311,22
Ting Zhu,29/11/1994,26,198,78,327.0,300,24
Fangxu Yang,06/10/1994,26,190,82,308.0,300,24
Hanyu Yang,12/10/1999,21,192,72,317.0,311,19
Mingyuan Hu,17/05/1996,24,187,69,305.0,297,22
Xiangyu Gong,21/04/1997,23,186,72,313.0,302,21
Luyao Xu,18/08/2000,20,192,90,305.0,295,18
Chunlei Zeng,03/11/1989,31,187,67,315.0,315,29
Changning Zhang,06/11/1995,25,193,80,315.0,303,23
Xiaotong Liu,16/02/1990,30,188,80,312.0,300,28
Di Yao,15/08/1992,28,182,65,306.0,298,26
Yingying Li,19/02/2000,20,192,71,302.0,294,18
Linyu Diao,07/04/1994,26,182,69,309.0,303,24
Yixin Zheng,06/05/1995,25,187,71,316.0,307,23
Li Lin,05/07/1992,28,171,65,294.0,294,26
Xia Ding,13/01/1990,30,180,67,305.0,300,28
Ni Yan,02/03/1987,33,192,74,317.0,306,31
Mengjie Wang,14/11/1995,25,172,65,289.0,280,23
Yanhan Liu,19/01/1993,27,188,75,315.0,305,25
Fang Duan,26/12/1994,26,186,73,301.0,296,24
Yi Gao,22/07/1998,22,193,66,304.0,298,20
Zixuan Meng,18/11/1996,24,180,62,298.0,290,22
Claudia Hernandez Aguila,09/01/1997,23,181,78,225.0,223,21
Regla Rainierys Gracia Gonzalez,28/05/1993,27,177,67,301.0,282,25
Lianny Tamayo Canton,30/04/1999,21,178,58,295.0,290,19
Yamila Hernandez Santas,08/11/1992,28,182,69,301.0,285,26
Daymara Lescay Cajigal,05/09/1992,28,184,72,310.0,305,26
Evilania Martinez Luis,11/01/2000,20,184,71,305.0,300,18
Diaris Perez Ramos,16/11/1998,22,182,75,304.0,295,20
Dayessi Luis Ruiz,23/10/1996,24,170,60,288.0,248,22
Emily Borrell Cruz,19/02/1992,28,167,55,270.0,260,26
Gretell Elena Moreno Borrero,30/01/1998,22,183,68,287.0,280,20
Ailama Cese Montalvo,29/10/2000,20,188,58,322.0,308,18
Yamisleydis Viltres Pacheco,26/07/2001,19,189,73,247.0,244,17
Jessica Aguilera Carbajal,25/05/1999,21,184,68,311.0,302,19
Kitania Medina Torres,24/02/1999,21,186,77,308.0,295,19
Odaimis Naomis Leliebre Palma,16/01/2001,19,175,70,228.0,226,17
Laura Beatriz Suarez Hernandez,13/12/1998,22,185,75,304.0,292,20
Thalia Moreno Reyes,10/04/2002,18,189,76,315.0,308,16
Heidy Margarita Rodriguez Lopez,24/06/1993,27,187,66,312.0,308,25
Egli Sabin Terry,25/11/1991,29,187,76,315.0,308,27
Daima Del Rió Preval,09/09/2000,20,180,77,236.0,234,18
Yaimaris De Los Angeles Garcia Victoria,03/12/2002,18,183,73,265.0,258,16
Ivy May Vila Wittingham,22/07/2001,19,181,78,235.0,232,17
Serena Ortolani,07/01/1987,33,187,63,320.0,240,31
Laura Melandri,31/01/1995,25,184,60,305.0,236,23
Carlotta Cambi,28/05/1996,24,177,66,302.0,292,22
Rachele Morello,07/11/2000,20,185,77,295.0,274,18
Ofelia Malinov,29/02/1996,24,185,70,304.0,285,22
Monica De Gennaro,08/01/1987,33,174,67,292.0,217,31
Sylvia Chinelo Nwakalor,12/08/1999,21,180,70,330.0,312,19
Alessia Orro,18/07/1998,22,180,74,308.0,231,20
Caterina Bosetti,02/02/1994,26,179,59,299.0,281,24
Cristina Chirichella,10/02/1994,26,194,79,322.0,306,24
Anna Danesi,20/04/1996,24,198,78,312.0,294,22
Anastasia Guerra,15/10/1996,24,187,69,312.0,294,22
Sarah Luisa Fahr,12/09/2001,19,194,84,322.0,306,17
Elena Pietrini,17/03/2000,20,190,73,330.0,306,18
Marina Lubian,11/04/2000,20,195,73,318.0,300,18
Lucia Bosetti,09/07/1989,31,178,63,310.0,292,29
Miryam Fatime Sylla,08/01/1995,25,184,80,320.0,240,23
Paola Ogechi Egonu,18/12/1998,22,193,80,344.0,321,20
Camilla Mingardi,19/10/1997,23,182,86,300.0,280,21
Beatrice Parrocchiale,26/12/1995,25,168,59,286.0,258,23
Chiara De Bortoli,28/07/1997,23,177,61,308.0,286,21
Anna Nicoletti,03/01/1996,24,193,86,306.0,290,22
Gizem Orge,26/04/1993,27,170,59,270.0,260,25
Simge Sebnem Akoz,23/04/1991,29,168,56,250.0,245,27
Cansu Özbay,17/10/1996,24,182,78,298.0,290,22
Beyza Arici,27/07/1995,25,193,83,303.0,294,23
Seyma Ercan,05/07/1994,26,187,73,305.0,294,24
Saliha Sahin,05/11/1998,22,185,62,282.0,275,20
Hande Baladin,01/09/1997,23,190,81,309.0,300,21
Tugba Senoglu,02/02/1998,22,184,64,275.0,270,20
Meliha Ismailoglu,17/09/1993,27,188,73,303.0,291,25
Çagla Akin,19/01/1995,25,177,70,300.0,280,23
Meryem Boz,03/02/1988,32,190,68,323.0,313,30
Eda Erdem Dündar,22/06/1987,33,188,74,307.0,297,31
Ebrar Karakurt,17/01/2000,20,196,73,315.0,304,18
Cansu Aydinogullari,18/02/1992,28,183,70,275.0,270,26
Zehra Gunes,07/07/1999,21,197,88,319.0,310,19
Asli Kalac,13/12/1995,25,185,73,306.0,297,23
Aylin Sarioğlu,21/07/1995,25,169,68,300.0,290,23
Asl?Han Kilic,21/04/1998,22,178,71,278.0,277,20
Kubra Caliskan,13/10/1994,26,198,86,310.0,310,24
Derya Cebecioglu,24/10/2000,20,185,65,290.0,280,18
Güldeniz Önal,25/03/1986,34,183,75,302.0,293,32
İlkin Aydin,05/01/2000,20,183,67,300.0,284,18
Jeyran Imanova,03/01/1995,25,165,51,250.0,242,23
Yana Azimova,05/07/1994,26,176,65,290.0,285,24
Anastasiya Gurbanova,04/12/1989,31,190,73,305.0,290,29
Leyla Parshkova,19/08/1998,22,174,57,230.0,225,20
Odina Aliyeva,22/05/1990,30,186,82,315.0,295,28
Ayshan Abdulazimova,11/04/1993,27,182,68,265.0,260,25
Olena Hasanova,25/11/1995,25,187,72,305.0,300,23
Yelyzaveta Samadova,03/03/1995,25,185,72,305.0,290,23
Natalya Mammadova,02/12/1984,36,196,78,319.0,302,34
Jana Kulan,07/07/1987,33,195,76,318.0,302,31
Katerina Zhidkova,28/09/1989,31,187,68,298.0,285,29
Valeriya Mammadova,29/01/1984,36,171,62,260.0,255,34
Krystsina Yagubova,13/02/1996,24,184,69,295.0,285,22
Aynur Imanova,07/12/1988,32,189,66,290.0,280,30
Iuliia Karimova,07/02/1988,32,176,56,260.0,255,30
Polina Rahimova,05/06/1990,30,195,73,307.0,290,28
Shafagat Alishanova,03/08/1991,29,178,63,287.0,280,27
Bayaz Aliyeva,09/06/1990,30,176,65,290.0,285,28
Marharyta Azizova,25/04/1993,27,186,70,305.0,300,25
Kseniya Pavlenko,30/08/1993,27,181,76,300.0,297,25
Maryia Kiryliuk,16/02/1995,25,187,83,305.0,290,23
Eunjin Park,15/12/1999,21,187,74,293.0,283,19
Juah Lee,21/08/2000,20,185,69,282.0,272,18
Hoyoung Jung,23/08/2001,19,190,70,285.0,260,17
Minkyoung Hwang,02/06/1990,30,174,64,290.0,282,28
Hyo Hee Lee,09/09/1980,40,173,58,272.0,252,38
Nayeon Lee,25/03/1992,28,173,62,261.0,241,26
Hae Ran Kim,16/03/1984,36,168,60,270.0,250,34
Myungok Yim,05/05/1986,34,175,62,273.0,253,32
Jiyoung Oh,11/07/1988,32,170,63,267.0,247,30
Yeon Koung Kim,26/02/1988,32,192,73,330.0,320,30
Su Ji Kim,11/07/1987,33,187,68,283.0,273,31
Soyoung Lee,17/10/1994,26,176,68,279.0,269,24
Jeongah Park,26/03/1993,27,187,75,300.0,290,25
Hyo Jin Yang,14/12/1989,31,190,72,340.0,338,29
Sohwi Kang,18/07/1997,23,180,65,286.0,276,21
Jae-Eun Lee,11/03/1987,33,176,63,274.0,272,31
Jaeyeong Lee,15/10/1996,24,178,65,289.0,279,22
Sooji Han,01/02/1989,31,182,72,285.0,275,29
Dayeong Lee,15/10/1996,24,180,63,291.0,271,22
Hyun Jung Na,10/03/1990,30,163,54,257.0,250,28
Yerim Go,12/06/1994,26,177,61,282.0,272,24
Yeongyeon Kim,01/12/1993,27,163,54,267.0,247,25
Yana Shcherban,06/09/1989,31,185,71,298.0,294,29
Daria Talysheva,16/10/1991,29,182,67,295.0,288,27
