name,link,date_of_birth,age,height,weight,spike,block,age_in_2018
Lucille Charuk,/en/competition/teams/can-canada/players/lucille-charuk?id=68941,13/08/1989,31,188,88,315.0,296,29
Kelsey Veltman,/en/competition/teams/can-canada/players/kelsey-veltman?id=68956,02/04/1996,24,189,78,310.0,295,22
Sarah Chase,/en/competition/teams/can-canada/players/sarah-chase?id=68942,08/10/1997,23,180,70,302.0,276,21
Shainah Joseph,/en/competition/teams/can-canada/players/shainah-joseph?id=68947,15/05/1995,25,183,78,329.0,292,23
Kristen Moncks,/en/competition/teams/can-canada/players/kristen-moncks?id=68949,31/07/1992,28,175,72,287.0,244,26
Kim Robitaille,/en/competition/teams/can-canada/players/kim-robitaille?id=68953,16/10/1991,29,179,59,302.0,283,27
Marie-Alex Bélanger,/en/competition/teams/can-canada/players/marie-alex-b%c3%a9langer?id=68940,13/04/1993,27,186,75,315.0,295,25
Alicia Perrin,/en/competition/teams/can-canada/players/alicia-perrin?id=68957,01/06/1992,28,188,84,305.0,286,26
Mariah Walsh,/en/competition/teams/can-canada/players/mariah-walsh?id=69397,09/10/1994,26,172,56,288.0,284,24
Megan Cyr,/en/competition/teams/can-canada/players/megan-cyr?id=68945,01/06/1990,30,182,75,297.0,282,28
Emily Maglio,/en/competition/teams/can-canada/players/emily-maglio?id=68948,13/11/1996,24,189,82,318.0,302,22
Kiera Van Ryk,/en/competition/teams/can-canada/players/kiera-van-ryk?id=68955,06/01/1999,21,188,85,302.0,288,19
Xinyue Yuan,/en/competition/teams/chn-china/players/xinyue-yuan?id=69282,21/12/1996,24,201,78,317.0,311,22
Ting Zhu,/en/competition/teams/chn-china/players/ting-zhu?id=69286,29/11/1994,26,198,78,327.0,300,24
Fangxu Yang,/en/competition/teams/chn-china/players/fangxu-yang?id=69280,06/10/1994,26,190,82,308.0,300,24
Hanyu Yang,/en/competition/teams/chn-china/players/hanyu-yang?id=69288,12/10/1999,21,192,72,317.0,311,19
Mingyuan Hu,/en/competition/teams/chn-china/players/mingyuan-hu?id=69271,17/05/1996,24,187,69,305.0,297,22
Xiangyu Gong,/en/competition/teams/chn-china/players/xiangyu-gong?id=69270,21/04/1997,23,186,72,313.0,302,21
Luyao Xu,/en/competition/teams/chn-china/players/luyao-xu?id=69278,18/08/2000,20,192,90,305.0,295,18
Chunlei Zeng,/en/competition/teams/chn-china/players/chunlei-zeng?id=69283,03/11/1989,31,187,67,315.0,315,29
Changning Zhang,/en/competition/teams/chn-china/players/changning-zhang?id=69284,06/11/1995,25,193,80,315.0,303,23
Xiaotong Liu,/en/competition/teams/chn-china/players/xiaotong-liu?id=69274,16/02/1990,30,188,80,312.0,300,28
Di Yao,/en/competition/teams/chn-china/players/di-yao?id=69281,15/08/1992,28,182,65,306.0,298,26
Yingying Li,/en/competition/teams/chn-china/players/yingying-li?id=69272,19/02/2000,20,192,71,302.0,294,18
Linyu Diao,/en/competition/teams/chn-china/players/linyu-diao?id=69287,07/04/1994,26,182,69,309.0,303,24
Yixin Zheng,/en/competition/teams/chn-china/players/yixin-zheng?id=69285,06/05/1995,25,187,71,316.0,307,23
Li Lin,/en/competition/teams/chn-china/players/li-lin?id=69273,05/07/1992,28,171,65,294.0,294,26
Xia Ding,/en/competition/teams/chn-china/players/xia-ding?id=69267,13/01/1990,30,180,67,305.0,300,28
